"Source","Target"
"102803242","1110663509862289409"
"102803242","114865774"
"102803242","1170012108"
"102803242","12044602"
"102803242","122517396"
"102803242","1265031758"
"102803242","127119300"
"102803242","135959346"
"102803242","1362094614"
"102803242","138962573"
"102803242","154638135"
"102803242","15780295"
"102803242","161475427"
"102803242","163640755"
"102803242","16664681"
"102803242","180898368"
"102803242","18652755"
"102803242","18685292"
"102803242","19265186"
"102803242","193919217"
"102803242","19809471"
"102803242","198643896"
"102803242","201321992"
"102803242","219145686"
"102803242","22186147"
"102803242","224032752"
"102803242","2254131619"
"102803242","2275081693"
"102803242","22803482"
"102803242","239935774"
"102803242","2467791"
"102803242","24907127"
"102803242","27998807"
"102803242","28220795"
"102803242","284173293"
"102803242","28450231"
"102803242","290184477"
"102803242","2977869463"
"102803242","3108351"
"102803242","3167176103"
"102803242","3221634776"
"102803242","3302619878"
"102803242","338065113"
"102803242","378855817"
"102803242","380523278"
"102803242","39372927"
"102803242","405108328"
"102803242","4128845353"
"102803242","426988399"
"102803242","43405063"
"102803242","4805048978"
"102803242","48117919"
"102803242","491864203"
"102803242","498219665"
"102803242","510646300"
"102803242","52123405"
"102803242","52932412"
"102803242","57786393"
"102803242","64584927"
"102803242","6603812"
"102803242","70472455"
"102803242","71074656"
"102803242","747587106"
"102803242","759251"
"102803242","764159546726113280"
"102803242","807095"
"102803242","839235646921199616"
"102803242","846427416473944064"
"102803242","89544886"
"102803242","93798559"
"102803242","950492939054022656"
"102803242","963253747"
"1032744313044664320","102803242"
"1032744313044664320","114865774"
"1032744313044664320","122517396"
"1032744313044664320","135959346"
"1032744313044664320","1444380402"
"1032744313044664320","15780295"
"1032744313044664320","161475427"
"1032744313044664320","19265186"
"1032744313044664320","19809471"
"1032744313044664320","198643896"
"1032744313044664320","22803482"
"1032744313044664320","24907127"
"1032744313044664320","27998807"
"1032744313044664320","28220795"
"1032744313044664320","28450231"
"1032744313044664320","290184477"
"1032744313044664320","369133270"
"1032744313044664320","39372927"
"1032744313044664320","48117919"
"1032744313044664320","64584927"
"1032744313044664320","709503363574935552"
"1032744313044664320","71074656"
"1032744313044664320","846427416473944064"
"1059724356","1091603888623370240"
"1059724356","1154264445117325312"
"1059724356","1179203722540273664"
"1059724356","1180479770"
"1059724356","1304501724"
"1059724356","15731032"
"1059724356","17187138"
"1059724356","1926061039"
"1059724356","218717865"
"1059724356","243214507"
"1059724356","24367478"
"1059724356","2987415637"
"1059724356","2994533788"
"1059724356","3070271977"
"1059724356","31354463"
"1059724356","3218189220"
"1059724356","369133270"
"1059724356","400089150"
"1059724356","415786848"
"1059724356","4515151"
"1059724356","45490806"
"1059724356","509631832"
"1059724356","547048098"
"1059724356","593542087"
"1059724356","62369083"
"1059724356","63568032"
"1059724356","68754481"
"1059724356","69655048"
"1059724356","710947219"
"1059724356","769857636"
"1059724356","791702110416936960"
"1059724356","826285384262774784"
"1059724356","838396926"
"1059724356","872858864215044096"
"1059724356","876528586664038400"
"1059724356","917551703578238976"
"1059724356","923006765129613312"
"1059724356","979864728737538048"
"1059724356","999807846920241153"
"1091603888623370240","1059724356"
"1091603888623370240","1154264445117325312"
"1091603888623370240","1179203722540273664"
"1091603888623370240","1180479770"
"1091603888623370240","122517396"
"1091603888623370240","1265031758"
"1091603888623370240","1304501724"
"1091603888623370240","15731032"
"1091603888623370240","1606508916"
"1091603888623370240","165785792"
"1091603888623370240","17187138"
"1091603888623370240","201321992"
"1091603888623370240","218717865"
"1091603888623370240","2303751216"
"1091603888623370240","243214507"
"1091603888623370240","24367478"
"1091603888623370240","2987415637"
"1091603888623370240","2994533788"
"1091603888623370240","31354463"
"1091603888623370240","3218189220"
"1091603888623370240","369133270"
"1091603888623370240","38673058"
"1091603888623370240","400089150"
"1091603888623370240","405108328"
"1091603888623370240","4457167754"
"1091603888623370240","51241574"
"1091603888623370240","547048098"
"1091603888623370240","593542087"
"1091603888623370240","62369083"
"1091603888623370240","63568032"
"1091603888623370240","68754481"
"1091603888623370240","69655048"
"1091603888623370240","710947219"
"1091603888623370240","7459282"
"1091603888623370240","759251"
"1091603888623370240","764159546726113280"
"1091603888623370240","769857636"
"1091603888623370240","807095"
"1091603888623370240","849289375544299520"
"1091603888623370240","872858864215044096"
"1091603888623370240","887129268"
"1091603888623370240","917551703578238976"
